	Date	Day	IMDB	Place	Rating	Time	Title
2773	2007/05/06	Sun		C2GA Cinema 2 General Admit		13:00	Wallace & Gromit in the Curse of the Were-Rabbit
2774	2007/05/06	Sun		C1GA Cinema 1 General Admit	18+	15:30	Intermedia Network: The 1990s
2775	2007/05/06	Sun		C1GA Cinema 1 General Admit	18+	17:30	D/Art Screenings: Contemporary Works
2776	2007/05/07	Mon		C2GA Cinema 2 General Admit	M	13:30	The White Countess
2777	2007/05/11	Fri		C2GA Cinema 2 General Admit	MA15+	19:15	Jubilee
2778	2007/05/11	Fri		C2GA Cinema 2 General Admit	18+	21:15	Suburbia
2779	2007/05/11	Fri		C1GA Cinema 1 General Admit	R18+	22:00	Re-Animator + Goodbye Mr. Germ
2780	2007/05/12	Sat		C2GA Cinema 2 General Admit	M	11:00	U-Carmen e-Khayelitsha
2781	2007/05/12	Sat		C1GA Cinema 1 General Admit		16:00	Gary Hilberg Presents.
2782	2007/05/12	Sat		C2GA Cinema 2 General Admit	18+	17:15	Ghost on the Highway
2783	2007/05/12	Sat		C2GA Cinema 2 General Admit	18+	19:15	Shorts 1: Punk and Post Punk
2784	2007/05/12	Sat		C2GA Cinema 2 General Admit	18+	21:15	Ladies and Gentlemen, the Fabulous Stains
2785	2007/05/13	Sun		C2GA Cinema 2 General Admit	G	10:30	Charlotte's Web
2786	2007/05/13	Sun		C2GA Cinema 2 General Admit	G	13:00	Charlotte's Web
2787	2007/05/13	Sun		C1GA Cinema 1 General Admit	18+	15:15	Punk and the Pistols
2788	2007/05/13	Sun		C1GA Cinema 1 General Admit	18+	17:15	Shorts 2: NYC No Wave
2789	2007/05/13	Sun		C1GA Cinema 1 General Admit	18+	19:15	Made in Britain
2790	2007/05/14	Mon		C2GA Cinema 2 General Admit	M	13:30	U-Carmen e-Khayelitsha
2791	2007/05/18	Fri		C1GA Cinema 1 General Admit	18+	19:15	Billy Childish & the Chatham Super 8 Cinema
2792	2007/05/18	Fri		C2GA Cinema 2 General Admit	R18+	21:00	Desperate Living
2793	2007/05/18	Fri		C1GA Cinema 1 General Admit	R18+	21:00	Desperate Living
2794	2007/05/18	Fri		C1GA Cinema 1 General Admit	M15+	22:00	Prick Up Your Ears
2795	2007/05/18	Fri		C2GA Cinema 2 General Admit	M15+	22:00	Prick Up Your Ears
2796	2007/05/19	Sat		C2GA Cinema 2 General Admit	M	11:00	U-Carmen e-Khayelitsha
2797	2007/05/19	Sat		C1GA Cinema 1 General Admit	R18+	16:00	Peterson
2798	2007/05/19	Sat		C2GA Cinema 2 General Admit	18+	17:15	Punk and the Pistols
2799	2007/05/19	Sat		C2GA Cinema 2 General Admit	18+	19:15	Ghost on the Highway
2800	2007/05/19	Sat		C2GA Cinema 2 General Admit	R18+	21:15	Repo Man
