	index	Date	Day	IMDB	Place	Rating_x	Time	Title	Rating_y	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
200	183	2003-01-09	Thu			Unclassified 18+	19:00	Kira's Reason: A Love Story		15842.0	da	2001-10-26	0.0	0.0	93.0	['Drama', 'Romance']	Ole Christian Madsen	
202	184	2003-01-10	Fri			Unclassified 18+	21:00	Truly Human		56314.0	da	2001-04-27	0.0	0.0	94.0	['Foreign', 'Drama', 'Romance']	Åke Sandgren	
204	185	2003-01-10	Fri			M15+	19:00	Mifune		139.0	da	1999-03-12	0.0	0.0	98.0	['Romance', 'Comedy', 'Drama']	Søren Kragh-Jacobsen	
206	186	2003-01-10	Fri			R	23:00	The Idiots		452.0	da	1998-04-28	2500000.0	7235.0	117.0	['Drama', 'Comedy']	Lars von Trier	
203	187	2003-01-11	Sat			Unclassified 18+	21:00	Truly Human		56314.0	da	2001-04-27	0.0	0.0	94.0	['Foreign', 'Drama', 'Romance']	Åke Sandgren	
208	188	2003-01-11	Sat			M	19:00	Italian for Beginners		112.0	da	2000-12-07	0.0	0.0	112.0	['Comedy', 'Drama', 'Romance']	Lone Scherfig	
201	189	2003-01-11	Sat			Unclassified 18+	17:00	Kira's Reason: A Love Story		15842.0	da	2001-10-26	0.0	0.0	93.0	['Drama', 'Romance']	Ole Christian Madsen	
46	190	2003-01-12	Sun			Unclassified 18+	14:00	Cosmic Ray		132364.0	en	1962-01-01	0.0	0.0	4.0	['History']	Bruce Conner	
48	191	2003-01-12	Sun			Unclassified 18+	14:00	Outer Space		110650.0	en	1999-01-01	0.0	0.0	10.0	['Horror']	Peter Tscherkassky	
50	192	2003-01-12	Sun			Unclassified 18+	14:00	Free radicals		48598.0	de	2003-01-01	0.0	0.0	120.0	['Comedy', 'Drama', 'Romance']	Barbara Albert	
52	193	2003-01-12	Sun			Unclassified 18+	14:00	Powers of ten		53223.0	en	1977-01-01	0.0	0.0	9.0	['Documentary']	Ray Eames	
54	194	2003-01-12	Sun			Unclassified 18+	14:00	Teenage Babylon		206309.0	en		0.0	0.0	14.0	['Music', 'Drama']	Graeme Wood	
56	195	2003-01-12	Sun			Unclassified 18+	14:00	4 Vertigo		354269.0	en	2000-08-13	0.0	0.0	9.0	[]	Les LeVeque	
58	196	2003-01-12	Sun			Unclassified 18+	14:00	Cinema		463415.0	ka	1977-06-25	0.0	0.0	0.0	[]	Liana Eliava	
205	197	2003-01-17	Fri			M15+	21:00	Mifune		139.0	da	1999-03-12	0.0	0.0	98.0	['Romance', 'Comedy', 'Drama']	Søren Kragh-Jacobsen	
210	198	2003-01-17	Fri			MA	19:00	The Celebration		309.0	da	1998-05-20	1300000.0	0.0	105.0	['Drama']	Thomas Vinterberg	
209	199	2003-01-18	Sat			M	19:00	Italian for Beginners		112.0	da	2000-12-07	0.0	0.0	112.0	['Comedy', 'Drama', 'Romance']	Lone Scherfig	
207	200	2003-01-18	Sat			R	21:00	The Idiots		452.0	da	1998-04-28	2500000.0	7235.0	117.0	['Drama', 'Comedy']	Lars von Trier	
212	201	2003-01-19	Sun			M	16:30	Run Lola Run		104.0				7267585.0	81.0	['Action', 'Drama', 'Thriller']	Tom Tykwer	
213	202	2003-01-21	Tue			M	18:30	Run Lola Run		104.0				7267585.0	81.0	['Action', 'Drama', 'Thriller']	Tom Tykwer	
214	203	2003-01-28	Tue			Unclassified 18+	19:00	Valette										
215	204	2003-01-28	Tue				19:00	Living with Happiness		123746.0	en		0.0	0.0	6.0	[]	Sarah Watt	
216	205	2003-01-28	Tue				19:00	Lacy		312391.0	en	2004-01-01		0.0	0.0	[]		
217	206	2003-01-28	Tue				19:00	Roundabout		400851.0	tl	2006-07-18	0.0	0.0	0.0	[]	Ron Bryant	
218	207	2003-01-28	Tue				19:00	Little Blue		321974.0	en	2015-09-09	0.0	0.0	106.0	['Documentary', 'Music']	Amy Berg	
219	208	2003-01-28	Tue				19:00	The End and Back Again										
220	209	2003-01-28	Tue				19:00	The Men's Room			en	1991-09-25	0.0	0.0	0.0			
221	210	2003-01-28	Tue				19:00	The Birthday		415527.0	pl	1980-09-23	0.0	0.0	96.0	['Drama', 'War']	Czeslaw Petelski	
222	211	2003-01-28	Tue				19:00	Avalanche		166680.0	en	1978-09-29	6500000.0	0.0	94.0	['Action', 'Adventure', 'Drama']	Lewis Teague	
223	212	2003-01-28	Tue				19:00	Blow		4133.0	en	2001-04-04	53000000.0	83282296.0	124.0	['Crime', 'Drama']	Ted Demme	
224	213	2003-01-30	Thu			G	19:00	Captain Thunderbolt		344714.0	en	1953-01-01	0.0	0.0	69.0	['Action']	Cecil Holmes	
225	214	2003-01-30	Thu				19:00	Stringybark Massacre										
